vulnerability_id,component,installed_version,severity,runtime_presence,build_or_runtime,exploitability,fixed_versions,fix_available,scanner,sources,decision,action,owner,due_date,exception_status
GO-2025-4009,stdlib,go1.25.0,HIGH,PRESENT_IN_RUNTIME_IMAGE,RUNTIME_IMAGE,NOT_ASSESSED_SCANNER_DATA_UNAVAILABLE,1.24.8;1.25.2,YES,GRYPE,GRYPE,OPEN_PRIORITY_MANUAL_REVIEW_REQUIRED,MANUAL_REVIEW_REQUIRED,OWNER_UNASSIGNED,DUE_DATE_OWNER_REQUIRED,NO_APPROVED_EXCEPTION
GO-2025-4013,stdlib,go1.25.0,HIGH,PRESENT_IN_RUNTIME_IMAGE,RUNTIME_IMAGE,NOT_ASSESSED_SCANNER_DATA_UNAVAILABLE,1.24.8;1.25.2,YES,GRYPE,GRYPE,OPEN_PRIORITY_MANUAL_REVIEW_REQUIRED,MANUAL_REVIEW_REQUIRED,OWNER_UNASSIGNED,DUE_DATE_OWNER_REQUIRED,NO_APPROVED_EXCEPTION
GO-2025-4155,stdlib,go1.25.0,HIGH,PRESENT_IN_RUNTIME_IMAGE,RUNTIME_IMAGE,NOT_ASSESSED_SCANNER_DATA_UNAVAILABLE,1.24.11;1.25.5,YES,GRYPE,GRYPE,OPEN_PRIORITY_MANUAL_REVIEW_REQUIRED,MANUAL_REVIEW_REQUIRED,OWNER_UNASSIGNED,DUE_DATE_OWNER_REQUIRED,NO_APPROVED_EXCEPTION
GO-2026-4341,stdlib,go1.25.0,HIGH,PRESENT_IN_RUNTIME_IMAGE,RUNTIME_IMAGE,NOT_ASSESSED_SCANNER_DATA_UNAVAILABLE,1.24.12;1.25.6,YES,GRYPE,GRYPE,OPEN_PRIORITY_MANUAL_REVIEW_REQUIRED,MANUAL_REVIEW_REQUIRED,OWNER_UNASSIGNED,DUE_DATE_OWNER_REQUIRED,NO_APPROVED_EXCEPTION
GO-2026-4601,stdlib,go1.25.0,HIGH,PRESENT_IN_RUNTIME_IMAGE,RUNTIME_IMAGE,NOT_ASSESSED_SCANNER_DATA_UNAVAILABLE,1.25.8;1.26.1,YES,GRYPE,GRYPE,OPEN_PRIORITY_MANUAL_REVIEW_REQUIRED,MANUAL_REVIEW_REQUIRED,OWNER_UNASSIGNED,DUE_DATE_OWNER_REQUIRED,NO_APPROVED_EXCEPTION
GO-2026-4870,stdlib,go1.25.0,HIGH,PRESENT_IN_RUNTIME_IMAGE,RUNTIME_IMAGE,NOT_ASSESSED_SCANNER_DATA_UNAVAILABLE,1.25.9;1.26.2,YES,GRYPE,GRYPE,OPEN_PRIORITY_MANUAL_REVIEW_REQUIRED,MANUAL_REVIEW_REQUIRED,OWNER_UNASSIGNED,DUE_DATE_OWNER_REQUIRED,NO_APPROVED_EXCEPTION
GO-2026-4918,stdlib,go1.25.0,HIGH,PRESENT_IN_RUNTIME_IMAGE,RUNTIME_IMAGE,NOT_ASSESSED_SCANNER_DATA_UNAVAILABLE,1.25.10;1.26.3,YES,GRYPE,GRYPE,OPEN_PRIORITY_MANUAL_REVIEW_REQUIRED,MANUAL_REVIEW_REQUIRED,OWNER_UNASSIGNED,DUE_DATE_OWNER_REQUIRED,NO_APPROVED_EXCEPTION
GO-2026-4918,stdlib,go1.26.2,HIGH,PRESENT_IN_RUNTIME_IMAGE,RUNTIME_IMAGE,NOT_ASSESSED_SCANNER_DATA_UNAVAILABLE,1.25.10;1.26.3,YES,GRYPE,GRYPE,OPEN_PRIORITY_MANUAL_REVIEW_REQUIRED,MANUAL_REVIEW_REQUIRED,OWNER_UNASSIGNED,DUE_DATE_OWNER_REQUIRED,NO_APPROVED_EXCEPTION
GO-2026-4946,stdlib,go1.25.0,HIGH,PRESENT_IN_RUNTIME_IMAGE,RUNTIME_IMAGE,NOT_ASSESSED_SCANNER_DATA_UNAVAILABLE,1.25.9;1.26.2,YES,GRYPE,GRYPE,OPEN_PRIORITY_MANUAL_REVIEW_REQUIRED,MANUAL_REVIEW_REQUIRED,OWNER_UNASSIGNED,DUE_DATE_OWNER_REQUIRED,NO_APPROVED_EXCEPTION
GO-2026-4947,stdlib,go1.25.0,HIGH,PRESENT_IN_RUNTIME_IMAGE,RUNTIME_IMAGE,NOT_ASSESSED_SCANNER_DATA_UNAVAILABLE,1.25.9;1.26.2,YES,GRYPE,GRYPE,OPEN_PRIORITY_MANUAL_REVIEW_REQUIRED,MANUAL_REVIEW_REQUIRED,OWNER_UNASSIGNED,DUE_DATE_OWNER_REQUIRED,NO_APPROVED_EXCEPTION
GO-2026-4970,stdlib,go1.25.0,HIGH,PRESENT_IN_RUNTIME_IMAGE,RUNTIME_IMAGE,NOT_ASSESSED_SCANNER_DATA_UNAVAILABLE,1.25.12;1.26.5;1.27.0-rc.2,YES,GRYPE,GRYPE,OPEN_PRIORITY_MANUAL_REVIEW_REQUIRED,MANUAL_REVIEW_REQUIRED,OWNER_UNASSIGNED,DUE_DATE_OWNER_REQUIRED,NO_APPROVED_EXCEPTION
GO-2026-4970,stdlib,go1.26.2,HIGH,PRESENT_IN_RUNTIME_IMAGE,RUNTIME_IMAGE,NOT_ASSESSED_SCANNER_DATA_UNAVAILABLE,1.25.12;1.26.5;1.27.0-rc.2,YES,GRYPE,GRYPE,OPEN_PRIORITY_MANUAL_REVIEW_REQUIRED,MANUAL_REVIEW_REQUIRED,OWNER_UNASSIGNED,DUE_DATE_OWNER_REQUIRED,NO_APPROVED_EXCEPTION
GO-2026-4971,stdlib,go1.25.0,HIGH,PRESENT_IN_RUNTIME_IMAGE,RUNTIME_IMAGE,NOT_ASSESSED_SCANNER_DATA_UNAVAILABLE,1.25.10;1.26.3,YES,GRYPE,GRYPE,OPEN_PRIORITY_MANUAL_REVIEW_REQUIRED,MANUAL_REVIEW_REQUIRED,OWNER_UNASSIGNED,DUE_DATE_OWNER_REQUIRED,NO_APPROVED_EXCEPTION
GO-2026-4971,stdlib,go1.26.2,HIGH,PRESENT_IN_RUNTIME_IMAGE,RUNTIME_IMAGE,NOT_ASSESSED_SCANNER_DATA_UNAVAILABLE,1.25.10;1.26.3,YES,GRYPE,GRYPE,OPEN_PRIORITY_MANUAL_REVIEW_REQUIRED,MANUAL_REVIEW_REQUIRED,OWNER_UNASSIGNED,DUE_DATE_OWNER_REQUIRED,NO_APPROVED_EXCEPTION
GO-2026-4977,stdlib,go1.25.0,HIGH,PRESENT_IN_RUNTIME_IMAGE,RUNTIME_IMAGE,NOT_ASSESSED_SCANNER_DATA_UNAVAILABLE,1.25.10;1.26.3,YES,GRYPE,GRYPE,OPEN_PRIORITY_MANUAL_REVIEW_REQUIRED,MANUAL_REVIEW_REQUIRED,OWNER_UNASSIGNED,DUE_DATE_OWNER_REQUIRED,NO_APPROVED_EXCEPTION
GO-2026-4977,stdlib,go1.26.2,HIGH,PRESENT_IN_RUNTIME_IMAGE,RUNTIME_IMAGE,NOT_ASSESSED_SCANNER_DATA_UNAVAILABLE,1.25.10;1.26.3,YES,GRYPE,GRYPE,OPEN_PRIORITY_MANUAL_REVIEW_REQUIRED,MANUAL_REVIEW_REQUIRED,OWNER_UNASSIGNED,DUE_DATE_OWNER_REQUIRED,NO_APPROVED_EXCEPTION
GO-2026-4981,stdlib,go1.25.0,HIGH,PRESENT_IN_RUNTIME_IMAGE,RUNTIME_IMAGE,NOT_ASSESSED_SCANNER_DATA_UNAVAILABLE,1.25.10;1.26.3,YES,GRYPE,GRYPE,OPEN_PRIORITY_MANUAL_REVIEW_REQUIRED,MANUAL_REVIEW_REQUIRED,OWNER_UNASSIGNED,DUE_DATE_OWNER_REQUIRED,NO_APPROVED_EXCEPTION
GO-2026-4981,stdlib,go1.26.2,HIGH,PRESENT_IN_RUNTIME_IMAGE,RUNTIME_IMAGE,NOT_ASSESSED_SCANNER_DATA_UNAVAILABLE,1.25.10;1.26.3,YES,GRYPE,GRYPE,OPEN_PRIORITY_MANUAL_REVIEW_REQUIRED,MANUAL_REVIEW_REQUIRED,OWNER_UNASSIGNED,DUE_DATE_OWNER_REQUIRED,NO_APPROVED_EXCEPTION
GO-2026-4986,stdlib,go1.25.0,HIGH,PRESENT_IN_RUNTIME_IMAGE,RUNTIME_IMAGE,NOT_ASSESSED_SCANNER_DATA_UNAVAILABLE,1.25.10;1.26.3,YES,GRYPE,GRYPE,OPEN_PRIORITY_MANUAL_REVIEW_REQUIRED,MANUAL_REVIEW_REQUIRED,OWNER_UNASSIGNED,DUE_DATE_OWNER_REQUIRED,NO_APPROVED_EXCEPTION
GO-2026-4986,stdlib,go1.26.2,HIGH,PRESENT_IN_RUNTIME_IMAGE,RUNTIME_IMAGE,NOT_ASSESSED_SCANNER_DATA_UNAVAILABLE,1.25.10;1.26.3,YES,GRYPE,GRYPE,OPEN_PRIORITY_MANUAL_REVIEW_REQUIRED,MANUAL_REVIEW_REQUIRED,OWNER_UNASSIGNED,DUE_DATE_OWNER_REQUIRED,NO_APPROVED_EXCEPTION
GO-2026-5026,golang.org/x/net,v0.53.0,HIGH,PRESENT_IN_RUNTIME_IMAGE,RUNTIME_IMAGE,NOT_ASSESSED_SCANNER_DATA_UNAVAILABLE,0.55.0,YES,GRYPE,GRYPE,OPEN_PRIORITY_MANUAL_REVIEW_REQUIRED,MANUAL_REVIEW_REQUIRED,OWNER_UNASSIGNED,DUE_DATE_OWNER_REQUIRED,NO_APPROVED_EXCEPTION
GO-2026-5026,stdlib,go1.25.0,HIGH,PRESENT_IN_RUNTIME_IMAGE,RUNTIME_IMAGE,NOT_ASSESSED_SCANNER_DATA_UNAVAILABLE,1.25.13;1.26.6;1.27.0-rc.3,YES,GRYPE,GRYPE,OPEN_PRIORITY_MANUAL_REVIEW_REQUIRED,MANUAL_REVIEW_REQUIRED,OWNER_UNASSIGNED,DUE_DATE_OWNER_REQUIRED,NO_APPROVED_EXCEPTION
GO-2026-5026,stdlib,go1.26.2,HIGH,PRESENT_IN_RUNTIME_IMAGE,RUNTIME_IMAGE,NOT_ASSESSED_SCANNER_DATA_UNAVAILABLE,1.25.13;1.26.6;1.27.0-rc.3,YES,GRYPE,GRYPE,OPEN_PRIORITY_MANUAL_REVIEW_REQUIRED,MANUAL_REVIEW_REQUIRED,OWNER_UNASSIGNED,DUE_DATE_OWNER_REQUIRED,NO_APPROVED_EXCEPTION
GO-2026-5037,stdlib,go1.25.0,HIGH,PRESENT_IN_RUNTIME_IMAGE,RUNTIME_IMAGE,NOT_ASSESSED_SCANNER_DATA_UNAVAILABLE,1.25.11;1.26.4,YES,GRYPE,GRYPE,OPEN_PRIORITY_MANUAL_REVIEW_REQUIRED,MANUAL_REVIEW_REQUIRED,OWNER_UNASSIGNED,DUE_DATE_OWNER_REQUIRED,NO_APPROVED_EXCEPTION
